Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Earth History,208,n17,Turbidites of the Abitibi Greenstone Belt   ,,48.49383333,-81.20333333,"Much of the Canadian [Shield] in northern Ontario is composed of 2.5 billion-year-old volcanic rocks that form large ""[Greenstone belts]"" named after their typical colour. One of the largest such belts in the world, the Abitibi [Greenstone belt] has been a source of enormous wealth with world-class deposits of copper-zinc-lead, gold, nickel-copper, and others. It consists of very thick accumulations of metamorphosed volcanic rocks, such as pillow [Lavas] ([N15]), and [Sedimentary rocks] deposited in the deep waters of an ancient ocean basin by downslope slumping and flow. These are called [Turbidites] because they moved downslope as turbulent mixtures of water and[ Sediment ]much like a snow avalanche ([C40]). Fantastic [Exposures] of [Turbidites] of the Timiskaming[ Series ]occur on the north side of Ferguson Avenue in South Porcupine just east of Crawford Street. ",n,,,,,,n,13,,6,http://planetrocks.ca/wp-content/uploads/N17.png
Earth History,209,n18,Green pebbles in Conglomerates,Abitibi Greenstones,48.545343,-80.899898,"Much of the Canadian [Shield] in northern Ontario is composed of 2.5 billion-year-old volcanic rocks that form large ""[Greenstone belts]"" named after their typical color. One of the largest such belts in the world, the Abitibi [Greenstone belt] has been a source of enormous wealth with world-class deposits of copper-zinc-lead, gold, nickel-copper, and others. It consists of very thick accumulations of metamorphosed volcanic rocks, such as pillow [Lavas] ([N15]), and deep water [Sedimentary rocks] deposited in the deep waters of an ancient ocean basin by downslope slumping and flow ([N17]). These are called [Turbidites] because they moved downslope as turbulent mixtures of water and[ Sediment ]much like a snow avalanche. These are well exposed on the north side of Highway 101 immediately west of the intersection with Municipal Road (old Highway 67 which leads up to [Kettle lakes] Provincial Park) where [Conglomerates] show bright green pebbles of metamorphosed [Basalt] altered to a bright green color by the[ Mineral ]fuchsite. ",y,,,8.03,0,4.88,n,14,,6,http://planetrocks.ca/wp-content/uploads/N18.png
Rocks and Minerals,210,n19,Timmins , Gold Aplenty,48.479849,-81.298574,"Timmins was named in 1912 after the famous prospector Noah Timmins. The city grew out of the 1909 discovery of gold rich quartz [Veins] that [Outcrop] at Porcupine, on the shore of Porcupine Lake. This discovery heralded one of the biggest gold rushes in Ontario history. To date, more than 75 million ounces of gold have been produced from rocks of the Abitibi [Greenstone belt], only exceeded by the famous Witwatersrand mines of South Africa. Take the underground gold mine discovery tour while in Timmins and drive the self-guided mining tour. Check out the Timmins Chamber of Commerce for information and maps. ",y,,,265.25,0,-6.45,y,16,,4,http://planetrocks.ca/wp-content/uploads/N19.png
Historic,211,n20,French River and the Voyageurs,Water Road Truckers,46.01633333,-80.58216667,"In the early 1600s, at the time of European contact, the Canadian [Shield] was occupied by small, migratory bands of Algonkian speaking trappers and hunters. They swapped furs for corn and dried meat from the sedentary Iroquois-speaking Huron who farmed to the south. This became the basis for a European fur trade that was determined by the waterways of northern Canada. Visit the interpretation centre on Highway 69 immediately south of the bridge across the French River.  ",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/N20.png
Earth History,212,n21,The Grenville Front Tectonic Zone on Highway 69,Sudbury,46.420612,-80.882871,"Just south of Sudbury, the traveler driving along Highway 69 will get a rare glimpse of one of the most dramatic geologic boundaries anywhere in Ontario - if not in Canada. To the north lies rocks that are roughly 2.9 -1.6 billion years old. A major thrust fault, called the Grenville Front Tectonic Zone, separates these two kinds of rock from the much younger (< 1.5 billion years old) metamorphic rocks of the Grenville [Province] to the south. This abrupt boundary is where the eastern margin of North America (""[Laurentia]"") once lay when part of South America slammed into it forming huge mountains. Looking east along the swamp on Highway 69 it can be seen, as well as in the community of Wahnapitae 10 kilometres east of Sudbury on Highway 17. The new highway 400 is being developed through this area and new road cuts are being opened up.",y,,,27.29,0,-7.87,n,16,,6,http://planetrocks.ca/wp-content/uploads/N21.png
Earth History,213,n22,The Grenville Front Tectonic Zone, Wahnapitae,46.48766667,-80.79083333,"Steeply dipping Huronian rocks pushed up along the GFTZ are easily seen in the small community of Wahnapitae on Highway 17 some 10 kilometres east of Sudbury . It's incredible to think that long ago, mountains that rivalled the Himalayas stood above these two sites.",y,,,31.06,1,-9.4,n,16,,6,http://planetrocks.ca/wp-content/uploads/N22.png
Rocks and Minerals,214,n23,Murray Mine,,46.516528,-81.053334,"Sudbury's impressive mining history began in 1883 when copper[ Ore ]was found in rock cuts made to facilitate the Canadian Pacific Railway. At first, mining concentrated on copper extraction, but with the arms race between Britain and Germany before the First World War, Canadian nickel mining at Sudbury really took off. The construction of heavily armoured ""dreadnought"" battle cruisers vastly increased demand.",y,,,273.56,0,-10.38,n,16,,4,http://planetrocks.ca/wp-content/uploads/N23.png
Rocks and Minerals,215,n24,Dynamic Earth and The Big Nickel,,46.473867,-81.033194,"At Dynamic Earth and the Big Nickel At Dynamic Earth , visitors can explore the seven-storey deep ""Inco Chasm"" and underground mining tunnels. The Big Nickel is a replica of a 1951 nickel coin bearing the head of George VI. The big coin was built to celebrate the 200th anniversary of the experiment by Swedish chemist Axel Fredrik Cronstedt, who was the first to successfully isolate nickel as an element.",y,46.473908,-81.035285,96.64,0,-0.31,y,16,,4,http://planetrocks.ca/wp-content/uploads/N24.png
Rocks and Minerals,216,n25,Copper Cliff Museum,,46.473668,-81.066685,"Copper Cliff Museum, A log cabin dating from 1885 is preserved in Copper Cliff as if it still housed a 19thcentury miner and his family. The museum also contains an extensive collection of photographs chronicling the rich history of mining in the area.",y,,,274.85,0,-1.57,n,16,,4,http://planetrocks.ca/wp-content/uploads/N25.png
Earth History,217,n26,Shatter Cones,,46.468122,-80.980397,Shatter cones are produced by violent shock waves during [Meteorite] impact. They occur in a belt that surrounds the Sudbury Structure  and testify to the violent impact caused by the 10 kilometre wide [Meteorite]. They are most accessible along Ramsey Lake Road on the way up to the campus of [Laurentia]n University.,y,,,118.69,0,-8.18,n,16,,6,http://planetrocks.ca/wp-content/uploads/N26.png
Rocks and Minerals,218,n27,Chelmsford Concretions,,46.573567,-81.288329,"Chelmsford concretions the last stage in the history of the [Meteorite] crater was its infilling with seawaters and great thicknesses of [Sedimentary rocks]. The Chelmsford[ Formation ]exposed on Highway 144, just east of Dowling, shows distinctive circular concretions made of carbonate. They are diagenetic in origin, meaning they were formed during [Lithification] ",y,,,65.04,0,3.78,n,15,,4,http://planetrocks.ca/wp-content/uploads/N27.png
Rocks and Minerals,219,n28,Onaping Falls,,46.587661,-81.380348,"The best place to view the varied rocks of the Sudbury Impact Structure is at Onaping Falls on Highway 144. A wonderful collection of rock has been assembled there that illustrates the entire [Stratigraphy] of the basin, including the ""salt and pepper"" [Norite] rock that lines the basin, the violently pulverized rock of the Sudbury [Breccia], the brassy copper-nickel[ Ore ]that lies above, and the glassy ""fall back debris"" that blanketed and partly filled the crater. Onaping Falls was a favorite subject of artists such as A.Y. Jackson of the Group of Seven.",n,,,,,,n,15,,4,http://planetrocks.ca/wp-content/uploads/N28.png
Earth History,220,n29,Sudbury Breccia,,46.63133333,-81.462,"At Windy Lake Highway 144 North cuts through superb [Outcrops] of the Sudbury [Breccia] which formed when [Archean] [Gneiss] with a prominent dark-coloured[ Dike ]was [Fracture]d ([Breccia]ted) during [Meteorite] impact. Look out for thin lens-shaped beds of glass-like ""pseudotachlyite"" where broken rock was melted by the heat of impact among the chaotic [Breccia].",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/N29.png
Earth History,221,n30,Pitted Outwash and Kettle Holes,,46.620285,-80.793083,"The road passes by Sudbury Airport on the left and affords dramatic views of what is called ""pitted"" or ""kettled"" [Outwash]. The airport is built on the extensive flat surface of an [Outwash] [Gravel] plain left by rivers when the last [Ice sheet] melted and withdrew 11,000 years ago. The ice margin lay at the south end of Lake Wanapitei, feeding [Gravel] and[ Sands]outh into Glacial Lake Algonquin. This was an enormous lake which at one time drained eastward through North Bay down the Ottawa Valley",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/N30.png
Earth History,222,n31,Wanapitei Lake,,46.68383333,-80.74783333,"Sudbury can truly be called the impact capital of Ontario, Wanapitei Lake ([N31]) north of Sudbury Airport fills another [Meteorite] impact basin, but one much younger than the Sudbury basin. The dating of impact debris, along the southern shore of the lake suggests a 37 million year old impact.",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/N31.png
Earth History,223,n32,Espanola Turbidites,,46.27066667,-81.77766667,Two and a half billion years ago northern Ontario was a quiet place-but it did not remain so for very long. The old rocks of the Superior [Province] were soon buried under thick layers of Huronian [Sandstone] and [Shale]. These record a large seaway lapping up against the Superior [Province] to the north. Distinct layers of [Sandstone] that were deposited deep underwater on an ancient submarine slope are now exposed in road cuts on Highway 6 immediately north of Espanola and the Serpent River,y,,,356.21,0,-18.09,n,14,,6,http://planetrocks.ca/wp-content/uploads/N32.png
Earth History,224,n33,Penokean Thrust and Fold Belts,,46.12849,-81.736525,"The drive south along Highway 6 from Espanola to Manitoulin Island takes us across a classic example of a ""fold and thrust"" belt. The road cuts through ridge after ridge of steeply dipping Huronian marine [Sedimentary rocks] that are about 2.4 billion years old. [Sedimentary rocks] of an ancient seaway were pushed north and crumpled during the Penokean [Orogeny] 1.8 billion years ago, forming a high mountain range. This has been worn down to expose the deformed rocks that today, create the rugged relief of the La Cloche Mountains.",y,46.127661,-81.73584,40.59,0,-15.18,n,16,,6,http://planetrocks.ca/wp-content/uploads/N33.png
Earth History,225,n34,Whitefish Dike,,46.129231,-81.740307,"The spectacular La Cloche Mountains are best seen from the Willisville Road turnoff (Site [N33]). An easy climb takes you to the top of a [Quartzite] ridge marking the North Range of the La Cloche Mountains. Here you'll get great views southward over Georgian Bay. At several points along Highway 6, notably west of the highway bridge over the river at Whitefish Falls  vertical black-coloured igneous intrusive dikes, of 1.25 billion year old [Diabase] plunge through the pale coloured [Quartzite].",y,,,141.77,0,-10.38,n,16,,6,http://planetrocks.ca/wp-content/uploads/N34.png
Earth History,226,n35,The Clear Lake Earthquake,,46.23933333,-81.747,At Espanola Municipal Centennial Park there is a classic example of deformation produced when an ancient earthquake shook soft[Sediments]ome 2 billion years ago.,n,46.239403,-81.746897,221.77,0,0.94,n,16,,6,http://planetrocks.ca/wp-content/uploads/N35.png
Earth History,227,n36,Killarney Provincial Park , Red Granite and White Quartzite,45.970794,-81.512378,"Killarney boasts geology unlike any other place in Ontario, with the gnarly white [Quartzite] of the La Cloche mountains, formed during the Penokean [Orogeny] to the glacially scoured 'sugarloaf' red [Granite] hills, stemming from the Grenville [Orogeny]. To experience the geology take the Chikanishing Trail off Highway 637, which should take approximately an hour, to get great views on the Georgian bay coast and the white hills of the La Cloche Mountains in the distance. ",n,,,,,,y,13,,6,http://planetrocks.ca/wp-content/uploads/N36.png
Earth History,228,n37,Drape Folds on Manitoulin Island,,46.013815,-81.80182,"Manitoulin means ""Spirit Island"" in Ojibwa. At 2,766 square kilometres it is Canada's-and the world's-largest freshwater island. In geologic terms, it is essentially the northward continuation of the Niagara [Escarpment] and its hard backbone [Paleozoic] [Limestone]. The island is easily reached from the south by ferry from the tip of the Bruce Peninsula at Tobermory, or from the north by road (Highway 6 from Espanola on Highway 17). The flat, windswept [Limestone] plains of the island contrast with the crystalline rocks of the Canadian [Shield] exposed just to the north and east.",y,,,293.18,0,0.08,n,16,,6,http://planetrocks.ca/wp-content/uploads/N37.png
Historic,229,n38,Sheguiandah's Ice Age Peoples,,45.89466667,-81.92083333,"Manitoulin Island  has recently been the site of controversy regarding the arrival of indigenous peoples in Ontario. The village of Sheguiandah, some 11 kilometres south of Little Current, is the site of a major archeological find. In the 1950s, stone tools were supposedly found under glacial[ Tills]uggesting that Paleo-Indians had arrived in Ontario before the last [Ice age], well before 20,000 years ago. However, recent excavations and age-dating have shed new light on the significance of the site, telling us that the first occupation occurred 9,500 years ago when the last [Ice sheet] was retreating from northern Ontario. Visit the museum in the Sheguiandah, for more on this intriging site.",n,,,,,,n,13,,5,http://planetrocks.ca/wp-content/uploads/N38.png
Nature,230,n39,Dreamer's Rock,,46.0105,-81.76888333,Dreamers Rock lies at the southernmost tip of the La Cloche Peninsula. This wonderful site overlooks the small Grassy Bay (now crossed by Highway 6) where Voyageurs portaged from Georgian Bay to get to the North Channel en route to Lake Superior and Hudson Bay (See Site [N20]). It is a 100-metre-high knob of radiantly white 2.4 billion-year-old Huronian Lorrain [Quartzite] that commands a magnificent view. Permission is required from the local band council in Birch Island. This is a sacred site.,n,,,,,,y,16,,8,http://planetrocks.ca/wp-content/uploads/N39.png
Rocks and Minerals,231,n40,Whalebacks at Whitefish,,46.11,-81.73,"Given that Ontario lay under an [Ice sheet] just 12,000 years ago, the effects of glacial [Erosion] and deposition are ubiquitous; Ontario is essentially a fossil glacial landscape no different from what you see in Iceland or Alaska today. In numerous places [Bedrock] has been smoothed into beautifully streamlined shapes by debris-laden ice flowing over rock and slowly grinding it away. The most impressive glacially-abraded rocks are found in and around the small community of Whitefish Falls. Appropriately for the location, the smoothed and sculpted [Bedrock] ridges are called 'whalebacks.'",n,,,,,,n,15,,4,http://planetrocks.ca/wp-content/uploads/N40.png
Fossils,232,n41,M'Chigeeng Road Cut,,45.825577,-82.150655,"The road side [Outcrop] at M'Chigeeng in central Manitoulin Island is of Late [Ordovician] Georgian Bay[ Formation ][Dolostones] containing thin beds of tube-like stromatoporoids (ancient sponges ranging in size from a ping pong ball to a foot ball) and deposited in the quiet, highly saline waters of the Michigan Basin some 400 million years ago. [Paleozoic] rocks such as these once covered all of Ontario but have slowly been stripped off by rivers and glaciers exposing the Canadian [Shield] rocks below. Younger, [Silurian]-aged Manitoulin[ Formation ][Dolostones] are exposed in the slopes above. Note the smooth, wall-like surface of the road cut which is the result of well developed [Joint]ing of the rock.",y,,,319.2,0,0.39,n,14,,2,http://planetrocks.ca/wp-content/uploads/N41.png
Earth History,233,n42,McLean's Mountain View,,45.95566667,-81.948,"This pull off from Highway 540 and McLean's Mountain Road near Little Current on Manitoulin Island provides a beautiful view northwards from the top of the Niagara [Escarpment] over the Canadian [Shield] to the north.  In the middle ground are flat-lying 400 million year old [Limestones] of Great La Cloche Island that lies in the North Channel and the appropriately named Bay of Islands.  In the distance, emerging from the cover of [Limestones] are the rounded stumps of the La Cloche Mountains made of white coloured 2.2 billion year [Quartzite] rocks. These were folded and elevated during the Penokean [Orogeny] some 1.8 billion years ago when a large southern landmass collided with this part of North America. Think of the enormity of time and the many different geologic events represented in this one view. ",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/N42.png
Earth History,234,n43,Cup and Saucer Trail, Hiking up a Rock Mountain,45.865344,-82.102958,"Without a doubt this is the most spectacular trail anywhere in Ontario; meandering up and onto the top of the glacially-sculpted Niagara [Escarpment]. The trails climbs up two [Escarpments]; a lower one forming the saucer and another higher one forming the cup; both are made of the [Outcrop]ping edges of hard [Dolostones] and [Limestones]. The Cup and Saucer is a superb example of a 'rock [Drumlin]' where glacier ice flowing from the north during the last [Ice age] about 20,000 years ago carved deep into the face of the [Escarpment]. This created streamlined rock landforms that look like an upturned row boat with 'bullet-shaped' noses that point up-ice to the north.  There are many such examples of rock [Drumlins] along the length of the Bruce Peninsula from Owen Sound to Manitoulin but none are quite so spectacular as the Cup and Saucer.  Smaller more elongate 'rock flutes' are also numerous. Note the large fallen blocks of rock at the base of the cliffs. Some 10,000 years ago, the cold waters of glacial Lake Algonquin lay at the base of these cliffs.  ",n,,,,,,y,14,,6,http://planetrocks.ca/wp-content/uploads/N43.png
Earth History,235,n44,Glacially Sculpted Rock Flutes,Grooves at South Baymouth,45.55766667,-82.01416667,"While waiting for the Tobermory ferry at South Baymouth, take the time to wander the coastline to the west of the harbour down by the marina. You'll see superb examples of glacially-streamlined [Limestone].  Elongate rock ridges and deeply cut grooves oriented in the direction of ice flow (offshore to the southwest) resemble on satellite images the teeth on a comb; they are excellent examples of [Bedrock] 'megaflutes' and 'megagrooves.' These glacial landforms record intense abrasion of the [Limestone] by the last [Ice sheet] to have covered the area about 20,000 years ago. They are similar in origin to the much larger rock [Drumlins] on Manitoulin Island such as at the Cup and saucer.  Megaflutes have blunt up-ice noses and narrow in the down ice direction like the backs of whales .The glacially abraded landforms of the  Manitoulin and Bruce Peninsula as they provide geologists with a glimpse of conditions below fast flowing 'ice streams' within the last [Ice sheet]. These corridors of fast flowing ice several tens of kilometres wide occur in modern [Ice sheets] such as Greenland and Ant[Arctica]. In Ontario, they fed the large lobes that moved down the basins now filled with lakes Erie, Huron and Ontario.",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/N44.png
Rocks and Minerals,236,n45,Elliot Lake, Boom and Bust,46.384208,-82.643688,Elliot Lake achieved international fame in 1953 with the discovery of uranium in coarse [Conglomerates] exposed around the margins of the Quirke Lake [Syncline] that forms a part of the Penokean[ Fold ]Belt (Site [N33]). A mining museum in Elliot Lake tells the story of the boom and inevitable bust (1991) of uranium mining in the area.,y,,,60.33,0,0.08,n,16,,4,http://planetrocks.ca/wp-content/uploads/N45.png
Rocks and Minerals,237,n46,Bruce Mines , Canada's First Copper Mine,46.301147,-83.788269,"Bruce Mines was Canada's first copper mine opening in 1843. The presence of copper at Bruce Mines spurred much geological work in the area by nineteenth-century Geological Survey of Canada geologists such as Alexander Murray and William Logan. Also look out for the Jasper [Conglomerate], or ""puddingstone"", located by the plaque at the entrance which contains small chips of bright red jasper.",y,46.300769,-83.787988,168.7,0,-4.48,n,16,,4,http://planetrocks.ca/wp-content/uploads/N46.png
Earth History,238,n47,Desbarats Ripples ,A 2.4 Billion Year Old Seafloor,46.337417,-83.953936,"Immediately west of the small community of Desbarats, some 12 kilometres west of Bruce Mines (Site [N38]) on the north side of Highway 17, is a wonderful roadside [Exposure] of exquisitely rippled shallow marine [Sandstone]. This belongs to the Cobalt[ Group ]of the Huronian Supergroup and was deposited about 2.4 billion years ago.",y,,,13.43,0,-1.49,n,16,,6,http://planetrocks.ca/wp-content/uploads/N47.png
Rocks and Minerals,239,n48,Copper Mine Point,,47.00333333,-84.78533333,"One billion years ago, much of what is now northern Ontario almost got torn in two along the Mid-continent Rift. Enormous volumes of [Lava] flows accumulated in the widening and subsiding rift. The Keweenawan [Sequence] is the catch-all term used for the varied igneous and [Sedimentary rocks] associated with the rift. These include intrusive dikes and the extrusive [Lavas] that flowed over the surface. One of Canada's first copper mines exploited copper from the Keweenawan [Lava] flows.",y,,,311.05,0,-2.44,n,14,,4,http://planetrocks.ca/wp-content/uploads/N48.png
Historic,240,n49,Agawa Rock, Pictographs and Paintings,47.3705,-84.69983333,"The Agawa Rock Native paintings (pictographs) in Lake Superior Provincial Park are located in one of the most striking settings found anywhere in Ontario. The pictographs alone are well worth the short trip along the access road off Highway 17, 4.3 kilometres north of the Agawa River. Their existence had been known since at least the 1850s, but the exact location was only discovered in 1958. The paintings may be 300 years old and some depict horses, which only appeared in the 1600s following contact with Europeans.",n,,,,,,n,14,,5,http://planetrocks.ca/wp-content/uploads/N49.png
Nature,241,n50,Agawa Canyon , Ontario's Grand Canyon,47.4555,-84.4895,"The remarkable chasm called Agawa Canyon is 150 metres deep and 1.6 kilometres wide. It is the largest in Ontario, but it's not accessible by road. You can only get there on the 183-kilometre-long Algoma Central Railway line, built in 1911 to connect Sault Ste. Marie and Hearst. Easy trails in the canyon will lead you to four waterfalls and another trail will give you a scenic lookout over Ontario's Grand Canyon.",n,,,,,,y,13,,8,http://planetrocks.ca/wp-content/uploads/N50.png
Earth History,242,n51,Lake de Zajac Dike,,47.937588,-84.515373,"One of the best examples of an igneous[ Dike ]anywhere in Ontario occurs 31 kilometres northeast of Wawa on the newly widened Highway 101 on the north side of Lake de Zajac, about 1 kilometres east of the Michipicoten River. It's called the Lade de Zajac[ Dike ](Site [N51]). Black-colored [Diabase] cuts pink [Granite] reddened by having been heated and baked by the dike. Look closely and you'll see that the [Diabase] is glassy along the outer margins of the[ Dike ]where it cooled very quickly",y,,,156.41,0,-14.55,n,16,,6,http://planetrocks.ca/wp-content/uploads/N51.png
Rocks and Minerals,243,n52,Banded Iron Formation,,47.89616667,-84.846,"On the east side of Highway 17, about 11 kilometres south of the turnoff to Wawa, you will find a great example of a banded iron[ Formation ]or [BIF]. These striped rocks tell a fascinating tale of an ancient ocean. The white layers in the rock are [Chert] (a form of quartz) and the black layers are iron (magnetite which is magnetic). Deposits such as these are known as '[BIFs]' (short for banded iron formations) and were formed in deep water oxygenated by bacteria close to volcanic vents which spewed clouds of dark coloured iron-rich hot water (they are called 'black smokers' on the modern ocean floors). [BIFs] have been mined extensively elsewhere in Ontario (most notably at the Sherman Mine in Temagami) and are known as Algoma-type iron deposits. They are key evidence of the activity of bacteria on planet Earth at least 2 billion years ago; the same organisms created an early oxygen rich atmosphere.",y,,,309.36,0,-3.23,n,16,,4,http://planetrocks.ca/wp-content/uploads/N52.png
Rocks and Minerals,244,n53,Manitouwadge,,48.70383333,-85.8595,"The small community of Manitouwadge (which is an Ojibwa word meaning ""cave of the great spirit"") was born following the discovery of zinc, copper, lead, and silver[ Ore ]in the mid 1950s. Here, the[ Ore ]bodies occurred right at the margins of [Granite] plutons which had intruded into [Archean] [Sedimentary rock]. The last mine to work this deposit (the Geco Mine) closed in 1995. The town prospered when the Golden Giant Mine started up near Hemlo in 1981, but this mine closed in 2006. Visit the roadside mining display at Manitouwadge.",y,,,344.15,1,-2.24,n,16,,4,http://planetrocks.ca/wp-content/uploads/N53.png
Rocks and Minerals,245,n54,Hemlo Gold,,48.691647,-85.918249,"Gold Mining occurs at Hemlo notably at the David Bell Mine and the Page Williams Mine. The[ Ore ]body lies in billions of years old deep marine rocks such as seen at Sites [N17] and [N18] and was actually found close to the Trans-Canada Highway. In 2010, Hemlo's estimated gold reserves was 1.3 million ounces.",y,,,350.99,2,-7.04,n,16,,4,http://planetrocks.ca/wp-content/uploads/N54.png
Rocks and Minerals,246,n55,Wawa Drilling Rig,,47.99883333,-84.77083333,A display of mining artifacts including the large Wawa drilling rig and samples of iron[ Ore ]can be found in downtown Wawa on the shores of Wawa Lake.,y,,,21.32,0,-9.48,n,15,,4,http://planetrocks.ca/wp-content/uploads/N55.png
Earth History,247,n56,Terraces,,47.983692,-84.780464,"The view westward from the famous Canada Goose monument in Wawa shows beautiful examples of raised beaches that form a prominent staircase. These mark the much older and much higher water levels of Lake Superior, which reached up to 120 metres above modern levels when the water basin was dammed by the last [Ice sheet].",n,,,,,,n,13,,6,http://planetrocks.ca/wp-content/uploads/N56.png
Earth History,248,n57,Wawa Pillow Basalts,,48.021994,-84.69215,"Excellent examples of pillow [Basalts] can be seen in roadside [Outcrops] along the eastern side of Wawa Lake on Highway 101, some 5 kilometres from its intersection with Highway 17. These pillow-shaped rocks formed with molten [Basalt] erupted under water and formed distinct rounded shapes. They make up the rounded hills that surround the lake.",y,,,35.77,0,-4.41,n,14,,6,http://planetrocks.ca/wp-content/uploads/N57.png
Earth History,249,n58,Potholes Provincial Park, The Hole Story of Ancient Rivers,47.957,-84.26883333,"At Potholes Provincial Park, on Highway 101 some 40 kilometres east of Highway 17, you'll feel at first-hand the power fast-flowing melt water rivers during the last [Ice age]. Many of the glacial formations visible today are due to subglacial meltwater channels, similar to ""subway"" tunnels underneath the glacier. Potholes are created in the [Bedrock] when eddies occur in the meltwater rivers allowing the stones and boulders in suspension to wear away at shallow depressions turning them into deep potholes.",n,,,,,,n,13,,6,http://planetrocks.ca/wp-content/uploads/N58.png
Rocks and Minerals,250,n59,Kama Bay,,48.9684,-87.9852,The link between geology and [Topography] (what is called 'geomorphology') is especially clear along the north shore of Lake Superior. Spectacular views of flat-topped mountains (called mesas after the Spanish for 'table') capped by flat lying sheets of [Igneous rocks] can be seen from several viewpoints.  Go to the east shore of Kama Bay to get the best view of these scenic formations.,y,,,83,0,-7.63,n,13,,4,http://planetrocks.ca/wp-content/uploads/N59.png
Earth History,251,n60,Pijitawabik Palisades,,49.334,-88.1245,"The Nipigon Sills are [Igneous Intrusions] that were injected into 1.45-billion-year-old [Sedimentary rock] (Site [N59]). This [Intrusion] took place deep underground about 1 billion years ago. The presence of sheet-like bodies of hard [Igneous rock] controls the regional landscape around Lake Nipigon cliffs can be seen en route at Reflection Lake, Gorge Creek, and Orient Bay. These cliffs mark the edges of flat-topped mesas which are all that remains of the once extensive[ Sills ]heets.  ",y,,,325.17,0,-12.9,n,14,,6,http://planetrocks.ca/wp-content/uploads/N60.png
Earth History,252,n61,Ouimet Canyon,,48.79,-88.66783333,"Ouimet Canyon is a stunning chasm created by glacial [Erosion] through a [Precambrian] [Igneous Intrusion]. This [Intrusion] is called a[ Sill ]and it is composed of an [Igneous rock] called [Diabase]. The kilometre long Ouimet Canyon Trail has easy, scenic hiking.   Peer down into the canyon to see northern plants, which due to the cool and moist climatic conditions of the canyon floor, are 1000 kilometres south of their normal range.  ",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/N61.png
Rocks and Minerals,253,n62,Panorama Amethyst Mine,,48.690252,-88.725114,"Amethyst is a purple-coloured variety of quartz and an eagerly sought after semi-precious stone. It was designated Ontario's official gem in 1975 and is the birthstone for those born in the month of February. The Thunder Bay district hosts several amethyst deposits, the largest of which is at the Panorama Mine, east of Thunder Bay.",n,,,,,,n,14,,4,http://planetrocks.ca/wp-content/uploads/N62.png
Nature,254,n63,Sleeping Giant, Turned to Stone,48.33716667,-88.90416667,"The Sleeping Giant near Thunder Bay, is a 335-metre-high tableland (or ""mesa"") on the Sibley Peninsula. This famous[ Formation ]resembles the figure of sleeping man. At 245 metres high, the cliff on the west side of the Giant is the tallest anywhere in Ontario. This imposing rock can be viewed from several localities but is best seen from Hillcrest Park in Thunder Bay (Site [N64]).",y,48.374785,-89.212367,108.02,0,4.48,n,12,,8,http://planetrocks.ca/wp-content/uploads/N63.png
Earth History,255,n64,Hillcrest Park,,48.43466667,-89.23416667,"Hillcrest Park is located 50 metres above Lake Superior, and offers a wonderful view over the coast. The park is situated on a beach terrace, cut out when water levels were much higher, rocks about 1.11 billion years ago. At that time, North America was being stretched almost to breaking point across a broad area of mid-continent called the Mid-continent Rift. This stretching resulted in the upwelling and [Intrusion] of [Igneous rocks]. Good examples are the Logan Sills (named after the famous Canadian geologist) near Thunder Bay, and the Nipigon Sills on the southwest side of Lake Nipigon.",y,,,146.95,1,-2.32,n,16,,6,http://planetrocks.ca/wp-content/uploads/N64.png
Nature,256,n65,Kakabeka Falls, The Niagara of The North,48.403338,-89.625846,"Kakabeka Falls is about 30 kilometres west of Thunder Bay, just downstream from the bridge over the Kaministiquia River on Highway 11/17. Kah-kah-pee-kah means ""sheer cliff."" At 40 metres high and over 60 metres wide, Kakabeka Falls is widely known as the Niagara of the North.",y,48.403729,-89.625161,328,0,0,n,16,,8,http://planetrocks.ca/wp-content/uploads/N65.png
Earth History,257,n66,Mount Mckay Mesa,,48.34666667,-89.27833333,"The best view of Thunder Bay is from the top of Mount McKay which overlooks the Kiministiquia River and the lakeside city at an elevation of about 300 metres above Lake Superior. It is an other excellent example of a ""mesa"" which has a flat top of hard [Igneous rock] protecting softer [Sedimentary rocks] below.",y,48.354745,-89.294946,153.24,0,-6.92,n,13,,6,http://planetrocks.ca/wp-content/uploads/N66.png
Earth History,258,n67,Pigeon River (High Falls),,48.00483333,-89.58233333,"High Falls forms where the Pigeon River surges over a resistant 30-metre-high rock barrier, really a vertical wall of intrusive [Igneous rock], or dike. The[ Dike ]was forcibly intruded some 1 billion years ago into surrounding 1.8-billion-year-old [Sedimentary rock].",n,,,,,,n,15,,6,http://planetrocks.ca/wp-content/uploads/N67.png
